PID	Product_Name	Manufacturer	retail_price	categories
1	Zeejubin	Bartanefin International	258.36	Computer
2	Varpickilower	Frojubupax Corp.	314.78	Car Audio,MP3 Player,Speaker
3	Unwerplar	Emjubex International Corp.	256.45	Air Purifier
4	Parfropollin	Surjubackar International	472.04	CD
5	Inkilentor	Monhupefantor WorldWide	180.03	Camera
6	Haphupentor	Thruvenommazz Group	203.67	Tool,TV
7	Rapsipover	Upnipommower International	236.80	Dryer
8	Tupdimower	Parquestan WorldWide	260.15	Computer
9	Gronipicistor	Ciptinefar Inc	14.12	Dryer,Microwave
10	Trumunentor	Hapcadax Holdings Inc	110.32	Projector
11	Rapdudollistor	Partanommentor	325.25	Projector
12	Surhupin	Emvenanor WorldWide	95.75	Microwave,Speaker
13	Resapollan	Intinicower	328.72	TV
14	Fromunan	Tipjubepover	350.20	Air Purifier
16	Barglibin	Tippebex International	422.75	Microwave
17	Emtanicazz	Zeebanar	418.61	Car Audio
18	Uncadar	Surdimicator	195.87	Microwave
19	Trutumplex	Inwerepor Company	386.15	Printer,Projector,Refridgerator
20	Recadicentor	Rezapupar Direct Company	287.23	Speaker
21	Supdimantor	Kliwerpor International Company	249.83	Recording Equipment
22	Montanefistor	Unsipexar WorldWide	456.17	Microwave
23	Lomtumefower	Tupkilexower Direct	379.16	Battery,Camera,Fax
24	Zeewerpegazz	Undudupar Inc	421.45	Vacuum Cleaner
25	Suppebistor	Montanar Holdings Company	201.05	Air Conditioning
26	Barhupadan	Truglibazz Direct	75.09	Camera,Satellite Radio,Air Purifier
27	Tupzapinar	Unrobexower Corp.	224.96	Speaker
28	Supwerpin	Varcadewicator	139.07	Fax
29	Parrobommar	Inpebepantor Direct Company	497.00	Camera Lens
30	Kliglibplan	Rehupommantor Holdings Corp.	255.18	Fax
31	Cipzapplistor	Parquestor Corp.	96.57	Fax,Air Conditioning
32	Inkililantor	Partinazz	41.04	Air Conditioning
33	Emkilegover	Tipfropaquin Holdings Company	263.48	Computer,Dryer,Phone
34	Unpickantor	Raperin Holdings Company	372.71	Camera
35	Wintinan	Unwerpedgower Inc	127.46	Computer,Dryer
36	Thruzapantor	Indudedgan Holdings	248.77	DVD,Projector
37	Varhupadover	Thruquestistor Holdings Inc	148.16	TV
38	Doptinan	Frorobex Holdings Group	364.04	Dryer
39	Dopbanplover	Lomwerpan Holdings	110.45	TV
40	Qwiweran	Emcadentor International	53.66	Fax,Video Game
41	Supdimazz	Qwicadegazz Holdings Group	442.64	Fax
42	Endbanin	Unmunexover Holdings	356.73	Fax,MP3 Player
43	Repickaquax	Supsipplower	205.98	Bluray,TV,MP3 Player
44	Zeerobex	Adcadackor Direct Company	330.01	Air Purifier
45	Tiptumegicator	Cipwerpower WorldWide Company	95.34	Air Purifier,Video Camera,Video Game
46	Supquestegistor	Inrobicator Holdings Group	491.57	CD
47	Adsapupicator	Tuperepan WorldWide	362.34	Recording Equipment
48	Grotumommover	Varkilantor International	391.06	Vacuum Cleaner
49	Winzapefor	Thrujubepazz International Company	305.75	GPS
50	Cipglibin	Frojubaman Holdings	437.98	Vacuum Cleaner
51	Recadex	Varwerilicator	208.65	Camera,Phone
52	Endvenefover	Tipsapazz	121.25	Bluray,Tool
53	Qwinipefover	Zeejubex WorldWide	236.18	Printer
54	Klisapewan	Lomrobopower WorldWide	105.75	Video Game
55	Bareredgover	Winjubentor Direct Group	420.96	Battery
56	Surpickantor	Inpebax Direct	302.18	Tool
57	Winmunex	Haptanegax Holdings	435.62	Printer
58	Uptanex	Frofropar WorldWide Inc	335.00	Recording Equipment,Vacuum Cleaner
59	Thrufropan	Undudower WorldWide	271.99	Phone,TV
60	Winwerpefan	Monquestazz	105.95	Camera Lens,Video Camera
61	Monmunedgover	Tuppickplax Holdings	478.72	Air Conditioning
62	Admunex	Upkilin Corp.	98.73	Refridgerator
63	Lompickicantor	Winsapplover	263.15	Fax,DVD
64	Uncadaquan	Emnipentor Holdings	258.94	Recording Equipment
65	Unbanomman	Inrobentor WorldWide	14.74	Projector,TV
66	Parpebicator	Truhupor Direct	285.21	Speaker
67	Adhupedicator	Tipbanan International	332.27	Phone,Tool
68	Hapdimefazz	Adwerax	456.01	Vacuum Cleaner
69	Trukilegistor	Tuppickin Corp.	223.74	Air Conditioning
70	Thruzapimentor	Raptumedower Inc	142.66	DVD,GPS
71	Zeegliban	Barvenantor	275.59	GPS
72	Qwitumadantor	Adnipover Holdings	55.58	GPS
73	Unquestupan	Unpebaquover Holdings	86.43	Air Conditioning
74	Undimican	Dopglibefazz Company	333.50	Camera Lens
75	Lompickex	Advenupex Direct Company	344.58	Vacuum Cleaner
76	Hapnipex	Barcadantor Direct	393.10	Washer
77	Grovenan	Thrusapentor WorldWide	251.19	Washer
78	Rekilicin	Monfropor	50.15	Air Conditioning,Car Audio,Projector
79	Tupwerax	Winfropanover International	327.11	Camera Lens,Phone,Video Camera
80	Thruwerommex	Parpickor	209.48	Air Purifier,Video Camera
81	Tiperopan	Cipvenistor Group	212.75	DVD,Recording Equipment,Satellite Radio
82	Unwerentor	Unwerpegicator WorldWide	333.90	Speaker,Dryer
83	Reglibicator	Varjubower Corp.	333.32	Bluray
84	Upsapewan	Supcadantor Group	60.03	Vacuum Cleaner
85	Zeepebazz	Lomnipover	47.53	Air Conditioning
86	Varhupamex	Adzapex Direct Group	475.32	Tool
87	Incadedgar	Parnipan Holdings	304.86	Scanner
88	Moncadover	Recadedin Direct	158.73	Car Audio
89	Frotanover	Endmunistor WorldWide	451.76	Speaker
90	Groglibax	Klisapeficator International Company	325.28	Scanner,Video Game
91	Tupvenicator	Dopsipplentor Corp.	313.15	Washer
92	Inwerefistor	Rapjubover Holdings	313.17	MP3 Player
93	Endtumax	Klijubower	93.05	Battery,DVD
94	Tiprobex	Cipbanover WorldWide	5.50	Scanner
95	Supsipamicator	Unpebewin Direct Corp.	74.94	Speaker
96	Dopzapewazz	Supquestar Holdings Corp.	344.91	Scanner
97	Partumilax	Tupfropazz Holdings Corp.	94.58	Tool
98	Trusapupentor	Vartanover	447.04	Speaker
99	Frobanimor	Thrupickadicator WorldWide	316.27	Battery,Bluray
100	Surglibewistor	Retumicower	310.13	Fax
101	Rapdiman	Tupkilplower Direct	160.30	Dryer
102	Tipquestazz	Parjuban Holdings	406.33	Scanner
