PID	date_sold	store_number	quantity
7759	2019-03-15	65	3
12463	2019-03-15	396	5
9456	2019-03-15	311	3
4114	2019-03-15	159	1
4031	2019-03-15	339	3
21571	2019-03-15	302	2
9011	2019-03-15	380	2
17408	2019-03-15	409	1
6477	2019-03-15	236	5
12259	2019-03-15	32	3
16752	2019-03-15	471	7
24114	2019-03-15	293	1
20353	2019-03-15	216	1
18451	2019-03-15	216	7
6025	2019-03-15	27	6
728	2019-03-15	214	7
6635	2019-03-15	65	5
1558	2019-03-15	15	3
1762	2019-03-14	150	6
1632	2019-03-14	475	2
14502	2019-03-14	214	15
25171	2019-03-14	291	1
5323	2019-03-14	319	2
944	2019-03-14	475	1
3492	2019-03-14	311	1
13786	2019-03-14	368	3
11882	2019-03-14	145	5
17385	2019-03-14	496	2
808	2019-03-14	47	6
21450	2019-03-14	385	1
7951	2019-03-14	29	6
22650	2019-03-14	491	1
5060	2019-03-14	355	6
18068	2019-03-14	288	4
25031	2019-03-14	317	3
8289	2019-03-14	214	4
4897	2019-03-14	398	9
5067	2019-03-14	262	2
5477	2019-03-14	77	12
11729	2019-03-14	176	32
23725	2019-03-14	230	18
19326	2019-03-14	219	4
10181	2019-03-14	355	2
6839	2019-03-14	125	1
23957	2019-03-14	184	1
3093	2019-03-14	44	3
1413	2019-03-14	440	1
2154	2019-03-14	181	7
24685	2019-03-14	490	2
8769	2019-03-14	464	3
6596	2019-03-14	74	4
9674	2019-03-14	142	1
88	2019-03-14	453	5
6567	2019-03-13	207	6
11699	2019-03-13	57	2
5698	2019-03-13	73	9
14980	2019-03-13	441	3
3748	2019-03-13	157	3
11154	2019-03-13	406	3
11839	2019-03-13	31	7
4435	2019-03-13	252	21
6834	2019-03-13	320	1
3569	2019-03-13	477	5
24194	2019-03-13	245	35
22000	2019-03-13	256	6
11095	2019-03-13	337	2
161	2019-03-13	470	1
11575	2019-03-13	158	5
24177	2019-03-13	208	4
2097	2019-03-13	438	7
16520	2019-03-13	224	6
22205	2019-03-13	394	3
8756	2019-03-13	363	3
19157	2019-03-13	111	1
25200	2019-03-13	324	1
19408	2019-03-13	418	1
4697	2019-03-13	159	7
42	2019-03-13	272	4
16271	2019-03-13	143	9
12973	2019-03-13	412	3
2241	2019-03-13	241	4
123	2019-03-13	457	23
6138	2019-03-13	170	5
17738	2019-03-13	302	1
9610	2019-03-13	43	7
21851	2019-03-13	329	2
2141	2019-03-13	50	1
5181	2019-03-13	438	3
17489	2019-03-13	52	5
10954	2019-03-13	461	1
10906	2019-03-13	161	6
12816	2019-03-13	328	18
11354	2019-03-12	440	3
10955	2019-03-12	277	23
11652	2019-03-12	429	2
16990	2019-03-12	319	1
6643	2019-03-12	376	3
6901	2019-03-12	70	6
14469	2019-03-12	18	1
4631	2019-03-12	105	6
24750	2019-03-12	127	2
12791	2019-03-12	7	1
17576	2019-03-12	284	6
20287	2019-03-12	466	1
8724	2019-03-12	175	1
22012	2019-03-12	11	5
20720	2019-03-12	255	3
8885	2019-03-12	157	1
14324	2019-03-12	206	7
19744	2019-03-12	442	1
23682	2019-03-12	232	3
461	2019-03-12	31	3
17465	2019-03-12	292	6
2706	2019-03-12	496	6
6815	2019-03-12	180	5
989	2019-03-12	286	5
14350	2019-03-12	29	1
6092	2019-03-12	392	1
23674	2019-03-12	61	6
9265	2019-03-12	93	5
20196	2019-03-12	38	5
5970	2019-03-12	78	1
13368	2019-03-12	221	5
8473	2019-03-12	441	7
24921	2019-03-12	399	38
6355	2019-03-12	410	6
5853	2019-03-12	260	3
596	2019-03-12	378	3
19208	2019-03-12	135	5
1547	2019-03-12	54	5
20096	2019-03-12	15	7
16896	2019-03-12	2	11
16985	2019-03-12	315	1
15831	2019-03-11	148	1
1899	2019-03-11	135	3
16731	2019-03-11	287	4
11972	2019-03-11	329	2
3067	2019-03-11	156	1
9566	2019-03-11	114	15
3257	2019-03-11	387	5
20504	2019-03-11	29	2
7162	2019-03-11	428	1
17195	2019-03-11	349	14
19468	2019-03-11	124	3
6871	2019-03-11	148	1
19433	2019-03-11	398	3
8069	2019-03-11	58	1
7279	2019-03-11	461	1
6394	2019-03-11	116	5
10115	2019-03-11	315	11
5981	2019-03-11	468	5
22139	2019-03-11	462	6
16142	2019-03-11	31	1
13220	2019-03-11	162	3
16933	2019-03-11	208	4
9957	2019-03-11	252	3
5352	2019-03-11	415	1
21734	2019-03-11	84	4
10004	2019-03-11	25	4
19805	2019-03-11	351	1
1819	2019-03-11	284	1
10600	2019-03-11	257	6
8015	2019-03-11	60	1
22072	2019-03-11	433	1
1949	2019-03-11	1	3
2483	2019-03-11	241	1
9236	2019-03-11	173	7
12365	2019-03-11	255	2
14667	2019-03-11	157	3
21579	2019-03-11	158	1
3259	2019-03-11	15	1
14190	2019-03-11	91	1
10098	2019-03-11	305	4
17638	2019-03-11	194	1
1302	2019-03-11	354	1
10334	2019-03-11	133	4
15741	2019-03-11	420	4
15288	2019-03-11	70	3
5985	2019-03-11	264	2
8730	2019-03-11	300	7
9093	2019-03-11	87	30
1764	2019-03-11	93	1
11866	2019-03-11	297	5
2797	2019-03-11	425	6
17221	2019-03-11	348	1
387	2019-03-11	307	4
22162	2019-03-11	401	5
15889	2019-03-11	458	2
15551	2019-03-11	137	1
20855	2019-03-11	157	5
13246	2019-03-11	301	1
23878	2019-03-11	409	4
7248	2019-03-11	385	3
16863	2019-03-11	450	1
16920	2019-03-11	425	3
22161	2019-03-11	204	2
4046	2019-03-11	311	5
16152	2019-03-11	265	3
16281	2019-03-11	166	1
21060	2019-03-11	386	1
22509	2019-03-10	121	3
13715	2019-03-10	104	6
3454	2019-03-10	203	4
12813	2019-03-10	382	1
1782	2019-03-10	288	3
19771	2019-03-10	272	8
11565	2019-03-10	357	4
8668	2019-03-10	266	5
5902	2019-03-10	380	1
6881	2019-03-10	499	1
20118	2019-03-10	343	3
10631	2019-03-10	319	6
4401	2019-03-10	281	2
24165	2019-03-10	495	36
17495	2019-03-10	413	1
16333	2019-03-10	419	6
16213	2019-03-10	347	1
328	2019-03-10	279	1
19610	2019-03-10	322	2
7319	2019-03-10	203	4
64	2019-03-10	70	2
1389	2019-03-10	472	1
11371	2019-03-10	434	4
4002	2019-03-10	187	7
