store_number	phone	city_name	city_state	district_number
481	1634602222	Columbus	Ohio	1
479	1229803045	Bakersfield	California	6
480	2750672075	Portland	Oregon	4
478	9479328065	Glendale	Arizona	5
477	8620731401	North Las Vegas	Nevada	1
476	7948944039	Glendale	Arizona	3
475	4639854061	Garland	Texas	1
474	2548145019	St. Paul	Minnesota	5
472	1448888005	Indianapolis	Indiana	5
473	5531820239	Miami	Florida	6
471	4582485890	Chesapeake	Virginia	1
470	8791589930	Scottsdale	Arizona	2
469	0458534271	Omaha	Nebraska	6
468	8408378033	Tucson	Arizona	6
467	9460074593	Durham	North Carolina	5
466	1826353275	Portland	Oregon	3
465	4391998983	Mesa	Arizona	2
464	8866428814	Stockton	California	1
463	9458536109	Tampa	Florida	4
462	6237968303	Mesa	Arizona	5
461	6386304513	Fort Worth	Texas	2
459	0079249255	Oakland	California	3
460	2463005650	Mesa	Arizona	2
458	8298516408	Atlanta	Georgia	1
457	0499072226	Raleigh	North Carolina	4
456	1234116232	Corpus Christi	Texas	4
454	4367928917	San Francisco	California	6
455	7736431636	Miami	Florida	2
453	1962276232	Indianapolis	Indiana	5
452	8873279541	Boston	Massachusetts	3
451	0093813390	Philadelphia	Pennsylvania	5
450	0989059420	El Paso	Texas	5
449	0249477230	Houston	Texas	1
448	9515025944	Miami	Florida	3
447	0488898556	Anaheim	California	4
446	0263642934	Seattle	Washington	4
445	7963875545	Jacksonville	Florida	1
443	3107509965	Long Beach	California	5
444	3946837684	San Jose	California	6
442	2882142685	Colorado Springs	Colorado	1
441	7945835822	Philadelphia	Pennsylvania	6
439	6366441480	Laredo	Texas	2
440	5843313936	St. Paul	Minnesota	5
438	1785875818	Los Angeles	California	1
437	7339905483	Houston	Texas	2
436	6857304399	Seattle	Washington	2
435	0822998645	Lubbock	Texas	5
434	8382709890	Miami	Florida	6
433	6213637974	Bakersfield	California	6
432	4840005375	San Francisco	California	2
430	3508612214	St. Petersburg	Florida	2
431	9221534925	Fort Worth	Texas	4
429	1704906563	Long Beach	California	4
428	0990677462	Anaheim	California	2
425	4597802201	Colorado Springs	Colorado	6
426	0199852424	Detroit	Michigan	5
427	6546823657	Miami	Florida	3
424	8657345186	Durham	North Carolina	5
423	1695146186	Arlington	Texas	3
421	9434757040	Buffalo	New York	1
422	2583771613	Denver	Colorado	4
420	5782736083	Newark	New Jersey	3
418	9232022584	Laredo	Texas	1
419	6510772752	Cleveland	Ohio	6
417	8895483375	Winston-Salem	North Carolina	4
416	0213980782	Austin	Texas	3
414	8471603547	New York	New York	6
415	5288706446	Baton Rouge	Louisiana	2
412	0977226382	Madison	Wisconsin	2
413	9354385359	Richmond	Virginia	5
410	0545067370	Jersey City	New Jersey	6
411	9917773529	Glendale	Arizona	1
409	8184815839	Los Angeles	California	3
408	3654492377	Fort Wayne	Indiana	6
407	3449462674	Bakersfield	California	4
404	2405566675	Anaheim	California	3
405	0706591911	Houston	Texas	6
406	3544225293	El Paso	Texas	6
402	4891439667	San Antonio	Texas	6
403	0857346418	Honolulu	Hawaii	1
401	8145136193	Jacksonville	Florida	3
400	5284777919	Fresno	California	5
398	2658516438	Reno	Nevada	2
399	0677339551	Austin	Texas	6
397	3755453724	Corpus Christi	Texas	5
