PID,store_number,business_date,quantity
7759,65,2019/3/15,3
12463,396,2019/3/15,5
9456,311,2019/3/15,3
4114,159,2019/3/15,1
4031,339,2019/3/15,3
21571,302,2019/3/15,2
9011,380,2019/3/15,2
17408,409,2019/3/15,1
6477,236,2019/3/15,5
12259,32,2019/3/15,3
16752,471,2019/3/15,7
24114,293,2019/3/15,1
20353,216,2019/3/15,1
18451,216,2019/3/15,7
6025,27,2019/3/15,6
728,214,2019/3/15,7
6635,65,2019/3/15,5
1558,15,2019/3/15,3
1762,150,2019/3/14,6
1632,475,2019/3/14,2
14502,214,2019/3/14,15
25171,291,2019/3/14,1
5323,319,2019/3/14,2
944,475,2019/3/14,1
3492,311,2019/3/14,1
13786,368,2019/3/14,3
11882,145,2019/3/14,5
17385,496,2019/3/14,2
808,47,2019/3/14,6
21450,385,2019/3/14,1
7951,29,2019/3/14,6
22650,491,2019/3/14,1
5060,355,2019/3/14,6
18068,288,2019/3/14,4
25031,317,2019/3/14,3
8289,214,2019/3/14,4
4897,398,2019/3/14,9
5067,262,2019/3/14,2
5477,77,2019/3/14,12
11729,176,2019/3/14,32
23725,230,2019/3/14,18
19326,219,2019/3/14,4
10181,355,2019/3/14,2
6839,125,2019/3/14,1
23957,184,2019/3/14,1
3093,44,2019/3/14,3
1413,440,2019/3/14,1
2154,181,2019/3/14,7
24685,490,2019/3/14,2
8769,464,2019/3/14,3
6596,74,2019/3/14,4
9674,142,2019/3/14,1
88,453,2019/3/14,5
6567,207,2019/3/13,6
11699,57,2019/3/13,2
5698,73,2019/3/13,9
14980,441,2019/3/13,3
3748,157,2019/3/13,3
11154,406,2019/3/13,3
11839,31,2019/3/13,7
4435,252,2019/3/13,21
6834,320,2019/3/13,1
3569,477,2019/3/13,5
24194,245,2019/3/13,35
22000,256,2019/3/13,6
11095,337,2019/3/13,2
161,470,2019/3/13,1
11575,158,2019/3/13,5
24177,208,2019/3/13,4
2097,438,2019/3/13,7
16520,224,2019/3/13,6
22205,394,2019/3/13,3
8756,363,2019/3/13,3
19157,111,2019/3/13,1
25200,324,2019/3/13,1
19408,418,2019/3/13,1
4697,159,2019/3/13,7
42,272,2019/3/13,4
16271,143,2019/3/13,9
12973,412,2019/3/13,3
2241,241,2019/3/13,4
123,457,2019/3/13,23
6138,170,2019/3/13,5
17738,302,2019/3/13,1
9610,43,2019/3/13,7
21851,329,2019/3/13,2
2141,50,2019/3/13,1
5181,438,2019/3/13,3
17489,52,2019/3/13,5
10954,461,2019/3/13,1
10906,161,2019/3/13,6
12816,328,2019/3/13,18
11354,440,2019/3/12,3
10955,277,2019/3/12,23
11652,429,2019/3/12,2
16990,319,2019/3/12,1
6643,376,2019/3/12,3
6901,70,2019/3/12,6
14469,18,2019/3/12,1
4631,105,2019/3/12,6
24750,127,2019/3/12,2
12791,7,2019/3/12,1
17576,284,2019/3/12,6
20287,466,2019/3/12,1
8724,175,2019/3/12,1
22012,11,2019/3/12,5
20720,255,2019/3/12,3
8885,157,2019/3/12,1
14324,206,2019/3/12,7
19744,442,2019/3/12,1
23682,232,2019/3/12,3
461,31,2019/3/12,3
17465,292,2019/3/12,6
2706,496,2019/3/12,6
6815,180,2019/3/12,5
989,286,2019/3/12,5
14350,29,2019/3/12,1
6092,392,2019/3/12,1
23674,61,2019/3/12,6
9265,93,2019/3/12,5
20196,38,2019/3/12,5
5970,78,2019/3/12,1
13368,221,2019/3/12,5
8473,441,2019/3/12,7
24921,399,2019/3/12,38
6355,410,2019/3/12,6
5853,260,2019/3/12,3
596,378,2019/3/12,3
19208,135,2019/3/12,5
1547,54,2019/3/12,5
20096,15,2019/3/12,7
16896,2,2019/3/12,11
16985,315,2019/3/12,1
15831,148,2019/3/11,1
1899,135,2019/3/11,3
16731,287,2019/3/11,4
11972,329,2019/3/11,2
3067,156,2019/3/11,1
9566,114,2019/3/11,15
3257,387,2019/3/11,5
20504,29,2019/3/11,2
7162,428,2019/3/11,1
17195,349,2019/3/11,14
19468,124,2019/3/11,3
6871,148,2019/3/11,1
19433,398,2019/3/11,3
8069,58,2019/3/11,1
7279,461,2019/3/11,1
6394,116,2019/3/11,5
10115,315,2019/3/11,11
5981,468,2019/3/11,5
22139,462,2019/3/11,6
16142,31,2019/3/11,1
13220,162,2019/3/11,3
16933,208,2019/3/11,4
9957,252,2019/3/11,3
5352,415,2019/3/11,1
21734,84,2019/3/11,4
10004,25,2019/3/11,4
19805,351,2019/3/11,1
1819,284,2019/3/11,1
10600,257,2019/3/11,6
8015,60,2019/3/11,1
22072,433,2019/3/11,1
1949,1,2019/3/11,3
2483,241,2019/3/11,1
9236,173,2019/3/11,7
12365,255,2019/3/11,2
14667,157,2019/3/11,3
21579,158,2019/3/11,1
3259,15,2019/3/11,1
14190,91,2019/3/11,1
10098,305,2019/3/11,4
17638,194,2019/3/11,1
1302,354,2019/3/11,1
10334,133,2019/3/11,4
15741,420,2019/3/11,4
15288,70,2019/3/11,3
5985,264,2019/3/11,2
8730,300,2019/3/11,7
9093,87,2019/3/11,30
1764,93,2019/3/11,1
11866,297,2019/3/11,5
2797,425,2019/3/11,6
17221,348,2019/3/11,1
387,307,2019/3/11,4
22162,401,2019/3/11,5
15889,458,2019/3/11,2
15551,137,2019/3/11,1
20855,157,2019/3/11,5
13246,301,2019/3/11,1
23878,409,2019/3/11,4
7248,385,2019/3/11,3
16863,450,2019/3/11,1
16920,425,2019/3/11,3
22161,204,2019/3/11,2
4046,311,2019/3/11,5
16152,265,2019/3/11,3
16281,166,2019/3/11,1
21060,386,2019/3/11,1
22509,121,2019/3/10,3
13715,104,2019/3/10,6
3454,203,2019/3/10,4
12813,382,2019/3/10,1
1782,288,2019/3/10,3
19771,272,2019/3/10,8
11565,357,2019/3/10,4
8668,266,2019/3/10,5
5902,380,2019/3/10,1
6881,499,2019/3/10,1
20118,343,2019/3/10,3
10631,319,2019/3/10,6
4401,281,2019/3/10,2
24165,495,2019/3/10,36
17495,413,2019/3/10,1
16333,419,2019/3/10,6
16213,347,2019/3/10,1
328,279,2019/3/10,1
19610,322,2019/3/10,2
7319,203,2019/3/10,4
64,70,2019/3/10,2
1389,472,2019/3/10,1
11371,434,2019/3/10,4
4002,187,2019/3/10,7
10486,471,2019/3/10,1
8690,11,2019/3/10,6
300,199,2019/3/10,1
10395,77,2019/3/10,11
4454,278,2019/3/10,7
1990,189,2019/3/10,1
15018,333,2019/3/10,6
17822,481,2019/3/10,1
6921,419,2019/3/10,6
6290,443,2019/3/10,1
9858,357,2019/3/10,7
18779,452,2019/3/10,3
3611,428,2019/3/10,1
5601,496,2019/3/10,1
21333,415,2019/3/10,3
17429,87,2019/3/10,4
8721,373,2019/3/10,5
8111,196,2019/3/10,1
23421,259,2019/3/10,8
3415,239,2019/3/10,1
13008,27,2019/3/10,1
10296,399,2019/3/10,2
20189,454,2019/3/10,6
7552,232,2019/3/10,2
22266,264,2019/3/10,4
11236,135,2019/3/10,1
24122,55,2019/3/10,1
23501,399,2019/3/10,6
23880,208,2019/3/10,1
18755,176,2019/3/10,5
23424,82,2019/3/10,5
9101,126,2019/3/10,3
2496,342,2019/3/10,14
6227,142,2019/3/10,2
7101,165,2019/3/10,1
1365,351,2019/3/10,8
385,101,2019/3/10,5
9930,349,2019/3/10,3
6217,453,2019/3/10,2
17527,156,2019/3/10,3
48,448,2019/3/10,1
2648,317,2019/3/10,3
24624,115,2019/3/10,3
11922,166,2019/3/10,7
10129,64,2019/3/9,8
20392,55,2019/3/9,3
6140,437,2019/3/9,8
14531,238,2019/3/9,4
17257,444,2019/3/9,1
21409,41,2019/3/9,1
22524,260,2019/3/9,8
19388,33,2019/3/9,10
7469,173,2019/3/9,1
23464,46,2019/3/9,2
15703,366,2019/3/9,3
4723,309,2019/3/9,8
5686,158,2019/3/9,1
16029,171,2019/3/9,16
17644,404,2019/3/9,7
3121,154,2019/3/9,1
15409,177,2019/3/9,1
6830,170,2019/3/9,5
17383,205,2019/3/9,2
1045,274,2019/3/9,5
5988,70,2019/3/9,5
4008,385,2019/3/9,4
9424,327,2019/3/9,1
19349,27,2019/3/9,3
