PID,category_name
1,Computer
2,Car Audio
2,MP3 Player
2,Speaker
3,Air Purifier
4,CD
5,Camera
6,Tool
6,TV
7,Dryer
8,Computer
9,Dryer
9,Microwave
10,Projector
11,Projector
12,Microwave
12,Speaker
13,TV
14,Air Purifier
16,Microwave
17,Car Audio
18,Microwave
19,Printer
19,Projector
19,Refridgerator
20,Speaker
21,Recording Equipment
22,Microwave
23,Battery
23,Camera
23,Fax
24,Vacuum Cleaner
25,Air Conditioning
26,Camera
26,Satellite Radio
26,Air Purifier
27,Speaker
28,Fax
29,Camera Lens
30,Fax
31,Fax
31,Air Conditioning
32,Air Conditioning
33,Computer
33,Dryer
33,Phone
34,Camera
35,Computer
35,Dryer
36,DVD
36,Projector
37,TV
38,Dryer
39,TV
40,Fax
40,Video Game
41,Fax
42,Fax
42,MP3 Player
43,Bluray
43,TV
43,MP3 Player
44,Air Purifier
45,Air Purifier
45,Video Camera
45,Video Game
46,CD
47,Recording Equipment
48,Vacuum Cleaner
49,GPS
50,Vacuum Cleaner
51,Camera
51,Phone
52,Bluray
52,Tool
53,Printer
54,Video Game
55,Battery
56,Tool
57,Printer
58,Recording Equipment
58,Vacuum Cleaner
59,Phone
59,TV
60,Camera Lens
60,Video Camera
61,Air Conditioning
62,Refridgerator
63,Fax
63,DVD
64,Recording Equipment
65,Projector
65,TV
66,Speaker
67,Phone
67,Tool
68,Vacuum Cleaner
69,Air Conditioning
70,DVD
70,GPS
71,GPS
72,GPS
73,Air Conditioning
74,Camera Lens
75,Vacuum Cleaner
76,Washer
77,Washer
78,Air Conditioning
78,Car Audio
78,Projector
79,Camera Lens
79,Phone
79,Video Camera
80,Air Purifier
80,Video Camera
81,DVD
81,Recording Equipment
81,Satellite Radio
82,Speaker
82,Dryer
83,Bluray
84,Vacuum Cleaner
85,Air Conditioning
86,Tool
87,Scanner
88,Car Audio
89,Speaker
90,Scanner
90,Video Game
91,Washer
92,MP3 Player
93,Battery
93,DVD
94,Scanner
95,Speaker
96,Scanner
97,Tool
98,Speaker
99,Battery
99,Bluray
100,Fax
101,Dryer
102,Scanner
103,Battery
104,Scanner
105,Recording Equipment
106,Camera
107,Washer
108,Phone
108,Scanner
109,Camera Lens
110,Refridgerator
111,Vacuum Cleaner
111,CD
112,Bluray
112,Fax
113,Satellite Radio
114,Dryer
115,Satellite Radio
116,Bluray
116,Dryer
116,Phone
117,Bluray
117,TV
118,Vacuum Cleaner
119,Speaker
120,Air Purifier
120,Projector
121,Recording Equipment
122,Video Game
123,Camera Lens
123,Projector
124,Camera Lens
125,CD
126,TV
127,GPS
128,Camera Lens
129,Speaker
130,Speaker
131,Satellite Radio
132,Dryer
133,Bluray
134,Scanner
135,Dryer
136,Air Conditioning
137,CD
138,GPS
139,Microwave
140,Refridgerator
141,Recording Equipment
141,Washer
142,Speaker
143,Microwave
144,Battery
144,GPS
144,Speaker
145,TV
146,Camera Lens
146,Dryer
146,Scanner
147,Computer
147,CD
148,Tool
148,Washer
149,Scanner
149,Video Camera
150,Satellite Radio
151,Refridgerator
151,Satellite Radio
152,Camera Lens
152,Car Audio
153,Air Purifier
154,Recording Equipment
155,Car Audio
156,Video Camera
157,Camera
157,Projector
157,Recording Equipment
158,Projector
159,Video Game
160,DVD
161,Projector
162,DVD
163,Air Purifier
163,Scanner
164,Dryer
165,Camera
166,DVD
166,Computer
167,Computer
168,CD
169,Washer
170,Refridgerator
171,Vacuum Cleaner
172,Air Purifier
172,Video Camera
172,Washer
173,Computer
173,Scanner
174,Speaker
175,Fax
175,Printer
175,Tool
176,Washer
177,Dryer
178,Washer
179,Video Camera
180,Camera Lens
181,Camera Lens
181,Printer
181,Recording Equipment
182,Camera
182,CD
183,DVD
183,Satellite Radio
184,Computer
185,Bluray
186,MP3 Player
186,Tool
187,Car Audio
187,TV
188,Fax
189,Camera
189,Satellite Radio
189,Tool
190,Projector
191,Battery
191,Car Audio
192,TV
193,Refridgerator
194,Fax
195,Tool
196,Battery
197,DVD
198,Bluray
198,Video Game
198,Washer
199,Video Camera
200,Air Conditioning
201,Microwave
202,Air Conditioning
202,Bluray
202,TV
203,Bluray
204,Satellite Radio
205,Air Conditioning
207,Car Audio
208,Air Purifier
209,Car Audio
209,Phone
210,Camera Lens
210,Air Conditioning
211,Phone
211,Dryer
211,Bluray
212,Car Audio
212,Refridgerator
212,Fax
213,Scanner
214,Camera Lens
215,Dryer
216,Battery
216,Camera Lens
216,Satellite Radio
217,CD
218,Computer
219,Printer
220,DVD
221,Camera Lens
221,MP3 Player
222,Air Conditioning
222,DVD
224,Camera
225,Computer
226,Scanner
227,Air Purifier
228,Camera
229,Air Purifier
230,Washer
230,TV
231,Camera
231,MP3 Player
232,Projector
233,Phone
233,Washer
234,Projector
234,Recording Equipment
235,Washer
236,Air Purifier
236,TV
237,Computer
238,Camera Lens
239,Refridgerator
240,Dryer
241,TV
242,Air Conditioning
243,Scanner
244,Air Conditioning
245,TV
246,DVD
247,Washer
248,Fax
249,CD
250,Camera Lens
251,Fax
252,Washer
253,Phone
254,Camera
254,Video Camera
255,Camera Lens
255,Phone
255,Video Game
256,Speaker
257,CD
258,Car Audio
258,TV
259,Refridgerator
260,Air Conditioning
260,GPS
261,Battery
262,Dryer
262,MP3 Player
263,Phone
263,TV
263,Recording Equipment
264,Computer
264,Microwave
264,Speaker
265,Battery
265,Phone
266,Refridgerator
267,Dryer
267,Video Camera
268,Tool
269,Battery
270,Video Game
271,Tool
272,Fax
272,Dryer
273,Camera
274,MP3 Player
275,Car Audio
276,GPS
277,Air Purifier
277,Recording Equipment
278,Air Conditioning
279,MP3 Player
280,Battery
281,Bluray
281,CD
281,Projector
282,Dryer
282,Refridgerator
283,Video Game
284,Speaker
285,Bluray
286,CD
287,TV
288,TV
289,Battery
290,Microwave
290,Phone
291,Camera
291,DVD
291,Satellite Radio
292,Washer
292,Microwave
